municipality_code,prefecture,municipality_name,reading_katakana
044440,宮城県,色麻町,しかまちょう
044458,宮城県,加美町,かみまち
045055,宮城県,美里町,みさとまち
045811,宮城県,女川町,おながわちょう
046060,宮城県,南三陸町,みなみさんりくちょう
052019,秋田県,秋田市,あきたし
052027,秋田県,能代市,のしろし
052035,秋田県,横手市,よこてし
052043,秋田県,大館市,おおだてし
052060,秋田県,男鹿市,おがし
052078,秋田県,湯沢市,ゆざわし
052094,秋田県,鹿角市,かづのし
052108,秋田県,由利本荘市,ゆりほんじょうし
052116,秋田県,潟上市,かたがみし
052124,秋田県,大仙市,だいせんし
052132,秋田県,北秋田市,きたあきたし
052141,秋田県,にかほ市,にかほし
052159,秋田県,仙北市,せんぼくし
053031,秋田県,小坂町,こさかまち
053279,秋田県,上小阿仁村,かみこあにむら
053465,秋田県,藤里町,ふじさとまち
053481,秋田県,三種町,みたねちょう
053490,秋田県,八峰町,はっぽうちょう
053619,秋田県,五城目町,ごじょうめまち
053635,秋田県,八郎潟町,はちろうがたまち
053660,秋田県,井川町,いかわまち
053686,秋田県,大潟村,おおがたむら
054348,秋田県,美郷町,みさとちょう
054631,秋田県,羽後町,うごまち
054640,秋田県,東成瀬村,ひがしなるせむら
062014,山形県,山形市,やまがたし
062022,山形県,米沢市,よねざわし
062031,山形県,鶴岡市,つるおかし
062049,山形県,酒田市,さかたし
062057,山形県,新庄市,しんじょうし
062065,山形県,寒河江市,さがえし
062073,山形県,上山市,かみのやまし
062081,山形県,村山市,むらやまし
062090,山形県,長井市,ながいし
062103,山形県,天童市,てんどうし
062111,山形県,東根市,ひがしねし
062120,山形県,尾花沢市,おばなざわし
062138,山形県,南陽市,なんようし
063011,山形県,山辺町,やまのべまち
063029,山形県,中山町,なかやままち
063215,山形県,河北町,かほくちょう
063223,山形県,西川町,にしかわまち
063231,山形県,朝日町,あさひまち
063240,山形県,大江町,おおえまち
063410,山形県,大石田町,おおいしだまち
063614,山形県,金山町,かねやままち
063622,山形県,最上町,もがみまち
063631,山形県,舟形町,ふながたまち
063649,山形県,真室川町,まむろがわまち
063657,山形県,大蔵村,おおくらむら
063665,山形県,鮭川村,さけがわむら
063673,山形県,戸沢村,とざわむら
063819,山形県,高畠町,たかはたまち
064017,山形県,小国町,おぐにまち
064025,山形県,白鷹町,しらたかまち
064033,山形県,飯豊町,いいでまち
064262,山形県,三川町,みかわまち
064289,山形県,庄内町,しようないまち
064611,山形県,遊佐町,ゆざまち
072010,福島県,福島市,ふくしまし
072028,福島県,会津若松市,あいづわかまつし
072036,福島県,郡山市,こおりやまし
072044,福島県,いわき市,いわきし
072052,福島県,白河市,しらかわし
072079,福島県,須賀川市,すかがわし
072087,福島県,喜多方市,きたかたし
072095,福島県,相馬市,そうまし
072109,福島県,二本松市,にほんまつし
072117,福島県,田村市,たむらし
072125,福島県,南相馬市,みなみそうまし
072133,福島県,伊達市,だてし
072141,福島県,本宮市,もとみやし
073016,福島県,桑折町,こおりまち
073032,福島県,国見町,くにみまち
073083,福島県,川俣町,かわまたまち
073229,福島県,大玉村,おおたまむら
073423,福島県,鏡石町,かがみいしまち
073440,福島県,天栄村,てんえいむら
073628,福島県,下郷町,しもごうまち
073644,福島県,檜枝岐村,ひのえまたむら
073679,福島県,只見町,ただみまち
073687,福島県,南会津町,みなみあいづまち
074021,福島県,北塩原村,きたしおばらむら
074055,福島県,西会津町,にしあいづまち
074071,福島県,磐梯町,ばんだいまち
074080,福島県,猪苗代町,いなわしろまち
074217,福島県,会津坂下町,あいづばんげまち
074225,福島県,湯川村,ゆがわむら
074233,福島県,柳津町,やないづまち
074446,福島県,三島町,みしままち
074454,福島県,金山町,かねやままち
074462,福島県,昭和村,しょうわむら
074471,福島県,会津美里町,あいづみさとまち
074616,福島県,西郷村,にしごうむら
074641,福島県,泉崎村,いずみざきむら
074659,福島県,中島村,なかじまむら
074667,福島県,矢吹町,やぶきまち
074811,福島県,棚倉町,たなぐらまち
074829,福島県,矢祭町,やまつりまち
074837,福島県,塙町,はなわまち
074845,福島県,鮫川村,さめがわむら
075019,福島県,石川町,いしかわまち
075027,福島県,玉川村,たまかわむら
075035,福島県,平田村,ひらたむら
075043,福島県,浅川町,あさかわまち
075051,福島県,古殿町,ふるどのまち
075213,福島県,三春町,みはるまち
075221,福島県,小野町,おのまち
075418,福島県,広野町,ひろのまち
075426,福島県,楢葉町,ならはまち
075442,福島県,川内村,かわうちむら
075451,福島県,大熊町,おおくままち
075469,福島県,双葉町,ふたばまち
075477,福島県,浪江町,なみえまち
075485,福島県,葛尾村,かつらおむら
075612,福島県,新地町,しんちまち
075647,福島県,飯舘村,いいたてむら
082015,茨城県,水戸市,みとし
082023,茨城県,日立市,ひたちし
082031,茨城県,土浦市,つちうらし
082040,茨城県,古河市,こがし
082058,茨城県,石岡市,いしおかし
082074,茨城県,結城市,ゆうきし
082082,茨城県,龍ケ崎市,りゅうがさきし
082104,茨城県,下妻市,しもつまし
082112,茨城県,常総市,じょうそうし
082121,茨城県,常陸太田市,ひたちおおたし
082147,茨城県,高萩市,たかはぎし
082155,茨城県,北茨城市,きたいばらきし
082163,茨城県,笠間市,かさまし
082171,茨城県,取手市,とりでし
082198,茨城県,牛久市,うしくし
082201,茨城県,つくば市,つくばし
082210,茨城県,ひたちなか市,ひたちなかし
082228,茨城県,鹿嶋市,かしまし
082236,茨城県,潮来市,いたこし
082244,茨城県,守谷市,もりやし
082252,茨城県,常陸大宮市,ひたちおおみやし
082261,茨城県,那珂市,なかし
082279,茨城県,筑西市,ちくせいし
082287,茨城県,坂東市,ばんどうし
082295,茨城県,稲敷市,いなしきし
082309,茨城県,かすみがうら市,かすみがうらし
082317,茨城県,桜川市,さくらがわし
082325,茨城県,神栖市,かみすし
082333,茨城県,行方市,なめがたし
082341,茨城県,鉾田市,ほこたし
082350,茨城県,つくばみらい市,つくばみらいし
082368,茨城県,小美玉市,おみたまし
083020,茨城県,茨城町,いばらきまち
083097,茨城県,大洗町,おおあらいまち
083101,茨城県,城里町,しろさとまち
083411,茨城県,東海村,とうかいむら
083640,茨城県,大子町,だいごまち
084425,茨城県,美浦村,みほむら
084433,茨城県,阿見町,あみまち
084476,茨城県,河内町,かわちまち
085219,茨城県,八千代町,やちよまち
085421,茨城県,五霞町,ごかまち
085464,茨城県,境町,さかいまち
085642,茨城県,利根町,とねまち
092011,栃木県,宇都宮市,うつのみやし
092029,栃木県,足利市,あしかがし
092037,栃木県,栃木市,とちぎし
092045,栃木県,佐野市,さのし
092053,栃木県,鹿沼市,かぬまし
092088,栃木県,小山市,おやまし
092096,栃木県,真岡市,もおかし
092100,栃木県,大田原市,おおたわらし
092118,栃木県,矢板市,やいたし
092134,栃木県,那須塩原市,なすしおばらし
092142,栃木県,さくら市,さくらし
092151,栃木県,那須烏山市,なすからすやまし
092169,栃木県,下野市,しもつけし
093017,栃木県,上三川町,かみのかわまち
093424,栃木県,益子町,ましこまち
093432,栃木県,茂木町,もてぎまち
093441,栃木県,市貝町,いちかいまち
093459,栃木県,芳賀町,はがまち
093611,栃木県,壬生町,みぶまち
093645,栃木県,野木町,のぎまち
093840,栃木県,塩谷町,しおやまち
093866,栃木県,高根沢町,たかねざわまち
094072,栃木県,那須町,なすまち
094111,栃木県,那珂川町,なかがわまち
102016,群馬県,前橋市,まえばしし
102024,群馬県,高崎市,たかさきし
102032,群馬県,桐生市,きりゅうし
102041,群馬県,伊勢崎市,いせさきし
102059,群馬県,太田市,おおたし
102067,群馬県,沼田市,ぬまたし
102075,群馬県,館林市,たてばやしし
102083,群馬県,渋川市,しぶかわし
102091,群馬県,藤岡市,ふじおかし
102105,群馬県,富岡市,とみおかし
102113,群馬県,安中市,あんなかし
102121,群馬県,みどり市,みどりし
103446,群馬県,榛東村,しんとうむら
103454,群馬県,吉岡町,よしおかまち
103667,群馬県,上野村,うえのむら
103675,群馬県,神流町,かんなまち
103829,群馬県,下仁田町,しもにたまち
103837,群馬県,南牧村,なんもくむら
103845,群馬県,甘楽町,かんらまち
104213,群馬県,中之条町,なかのじようまち
104248,群馬県,長野原町,ながのはらまち
104256,群馬県,嬬恋村,つまごいむら
104264,群馬県,草津町,くさつまち
104281,群馬県,高山村,たかやまむら
104299,群馬県,東吾妻町,ひがしあがつままち
104434,群馬県,片品村,かたしなむら
104442,群馬県,川場村,かわばむら
104485,群馬県,昭和村,しょうわむら
104493,群馬県,みなかみ町,みなかみまち
104647,群馬県,玉村町,たまむらまち
105210,群馬県,板倉町,いたくらまち
105228,群馬県,明和町,めいわまち
105236,群馬県,千代田町,ちよだまち
105244,群馬県,大泉町,おおいずみまち
105252,群馬県,邑楽町,おうらまち
111007,埼玉県,さいたま市,さいたまし
112011,埼玉県,川越市,かわごえし
112038,埼玉県,川口市,かわぐちし
112062,埼玉県,行田市,ぎようだし
112071,埼玉県,秩父市,ちちぶし
112089,埼玉県,所沢市,ところざわし
112097,埼玉県,飯能市,はんのうし
112101,埼玉県,加須市,かぞし
112119,埼玉県,本庄市,ほんじようし
112127,埼玉県,東松山市,ひがしまつやまし
112143,埼玉県,春日部市,かすかべし
112151,埼玉県,狭山市,さやまし
112160,埼玉県,羽生市,はにゆうし
112178,埼玉県,鴻巣市,こうのすし
112186,埼玉県,深谷市,ふかやし
112194,埼玉県,上尾市,あげおし
112216,埼玉県,草加市,そうかし
112224,埼玉県,越谷市,こしがやし
112232,埼玉県,蕨市,わらびし
112241,埼玉県,戸田市,とだし
112259,埼玉県,入間市,いるまし
112275,埼玉県,朝霞市,あさかし
112283,埼玉県,志木市,しきし
112291,埼玉県,和光市,わこうし
112305,埼玉県,新座市,にいざし
112313,埼玉県,桶川市,おけがわし
112321,埼玉県,久喜市,くきし
112330,埼玉県,北本市,きたもとし
112348,埼玉県,八潮市,やしおし
112356,埼玉県,富士見市,ふじみし
112372,埼玉県,三郷市,みさとし
112381,埼玉県,蓮田市,はすだし
112399,埼玉県,坂戸市,さかどし
112402,埼玉県,幸手市,さってし
112411,埼玉県,鶴ヶ島市,つるがしまし
112429,埼玉県,日高市,ひだかし
112437,埼玉県,吉川市,よしかわし
112453,埼玉県,ふじみ野市,ふじみのし
112461,埼玉県,白岡市,しらおかし
113018,埼玉県,伊奈町,いなまち
113247,埼玉県,三芳町,みよしまち
113263,埼玉県,毛呂山町,もろやままち
113271,埼玉県,越生町,おごせまち
113417,埼玉県,滑川町,なめがわまち
113425,埼玉県,嵐山町,らんざんまち
113433,埼玉県,小川町,おがわまち
113468,埼玉県,川島町,かわじままち
113476,埼玉県,吉見町,よしみまち
113484,埼玉県,鳩山町,はとやままち
113492,埼玉県,ときがわ町,ときがわまち
113611,埼玉県,横瀬町,よこぜまち
113620,埼玉県,皆野町,みなのまち
113638,埼玉県,長瀞町,ながとろまち
113654,埼玉県,小鹿野町,おがのまち
113697,埼玉県,東秩父村,ひがしちちぶむら
113816,埼玉県,美里町,みさとまち
113832,埼玉県,神川町,かみかわまち
113859,埼玉県,上里町,かみさとまち
114081,埼玉県,寄居町,よりいまち
114421,埼玉県,宮代町,みやしろまち
114651,埼玉県,松伏町,まつぶしまち
121002,千葉県,千葉市,ちばし
122025,千葉県,銚子市,ちょうしし
122033,千葉県,市川市,いちかわし
122041,千葉県,船橋市,ふなばしし
122050,千葉県,館山市,たてやまし
122068,千葉県,木更津市,きさらづし
122076,千葉県,松戸市,まつどし
122084,千葉県,野田市,のだし
122106,千葉県,茂原市,もばらし
122114,千葉県,成田市,なりたし
122122,千葉県,佐倉市,さくらし
122131,千葉県,東金市,とうがねし
122157,千葉県,旭市,あさひし
122165,千葉県,習志野市,ならしのし
122173,千葉県,柏市,かしわし
122181,千葉県,勝浦市,かつうらし
122190,千葉県,市原市,いちはらし
122203,千葉県,流山市,ながれやまし
122211,千葉県,八千代市,やちよし
122220,千葉県,我孫子市,あびこし
122238,千葉県,鴨川市,かもがわし
122246,千葉県,鎌ケ谷市,かまがやし
