municipality_code,prefecture,municipality_name,reading_hiragana,municipality_category,name_short,reading_short
016918,北海道,別海町,べつかいちょう,町,別海,べつかい
016926,北海道,中標津町,なかしべつちょう,町,中標津,なかしべつ
016934,北海道,標津町,しべつちょう,町,標津,しべつ
016942,北海道,羅臼町,らうすちょう,町,羅臼,らうす
016951,北海道,色丹村,しこたんむら,村,色丹,しこたん
016969,北海道,泊村,とまりむら,村,泊,とまり
016977,北海道,留夜別村,るやべつむら,村,留夜別,るやべつ
016985,北海道,留別村,るべつむら,村,留別,るべつ
016993,北海道,紗那村,しゃなむら,村,紗那,しゃな
017001,北海道,蘂取村,しべとろむら,村,蘂取,しべとろ
022012,青森県,青森市,あおもりし,市,青森,あおもり
022021,青森県,弘前市,ひろさきし,市,弘前,ひろさき
022039,青森県,八戸市,はちのへし,市,八戸,はちのへ
022047,青森県,黒石市,くろいしし,市,黒石,くろいし
022055,青森県,五所川原市,ごしょがわらし,市,五所川原,ごしょがわら
022063,青森県,十和田市,とわだし,市,十和田,とわだ
022071,青森県,三沢市,みさわし,市,三沢,みさわ
022080,青森県,むつ市,むつし,市,むつ,むつ
022098,青森県,つがる市,つがるし,市,つがる,つがる
022101,青森県,平川市,ひらかわし,市,平川,ひらかわ
023019,青森県,平内町,ひらないまち,町,平内,ひらない
023035,青森県,今別町,いまべつまち,町,今別,いまべつ
023043,青森県,蓬田村,よもぎたむら,村,蓬田,よもぎた
023078,青森県,外ヶ浜町,そとがはままち,町,外ヶ浜,そとがはま
023213,青森県,鰺ヶ沢町,あじがさわまち,町,鰺ヶ沢,あじがさわ
023230,青森県,深浦町,ふかうらまち,町,深浦,ふかうら
023434,青森県,西目屋村,にしめやむら,村,西目屋,にしめや
023612,青森県,藤崎町,ふじさきまち,町,藤崎,ふじさき
023621,青森県,大鰐町,おおわにまち,町,大鰐,おおわに
023671,青森県,田舎館村,いなかだてむら,村,田舎館,いなかだて
023817,青森県,板柳町,いたやなぎまち,町,板柳,いたやなぎ
023841,青森県,鶴田町,つるたまち,町,鶴田,つるた
023876,青森県,中泊町,なかどまりまち,町,中泊,なかどまり
024015,青森県,野辺地町,のへじまち,町,野辺地,のへじ
024023,青森県,七戸町,しちのへまち,町,七戸,しちのへ
024058,青森県,六戸町,ろくのへまち,町,六戸,ろくのへ
024066,青森県,横浜町,よこはままち,町,横浜,よこはま
024082,青森県,東北町,とうほくまち,町,東北,とうほく
024112,青森県,六ヶ所村,ろっかしょむら,村,六ヶ所,ろっかしょ
024121,青森県,おいらせ町,おいらせちょう,町,おいらせ,おいらせ
024236,青森県,大間町,おおままち,町,大間,おおま
024244,青森県,東通村,ひがしどおりむら,村,東通,ひがしどおり
024252,青森県,風間浦村,かざまうらむら,村,風間浦,かざまうら
024261,青森県,佐井村,さいむら,村,佐井,さい
024414,青森県,三戸町,さんのへまち,町,三戸,さんのへ
024422,青森県,五戸町,ごのへまち,町,五戸,ごのへ
024431,青森県,田子町,たっこまち,町,田子,たっこ
024457,青森県,南部町,なんぶちょう,町,南部,なんぶ
024465,青森県,階上町,はしかみちょう,町,階上,はしかみ
024503,青森県,新郷村,しんごうむら,村,新郷,しんごう
032018,岩手県,盛岡市,もりおかし,市,盛岡,もりおか
032026,岩手県,宮古市,みやこし,市,宮古,みやこ
032034,岩手県,大船渡市,おおふなとし,市,大船渡,おおふなと
032051,岩手県,花巻市,はなまきし,市,花巻,はなまき
032069,岩手県,北上市,きたかみし,市,北上,きたかみ
032077,岩手県,久慈市,くじし,市,久慈,くじ
032085,岩手県,遠野市,とおのし,市,遠野,とおの
032093,岩手県,一関市,いちのせきし,市,一関,いちのせき
032107,岩手県,陸前高田市,りくぜんたかたし,市,陸前高田,りくぜんたかた
032115,岩手県,釜石市,かまいしし,市,釜石,かまいし
032131,岩手県,二戸市,にのへし,市,二戸,にのへ
032140,岩手県,八幡平市,はちまんたいし,市,八幡平,はちまんたい
032158,岩手県,奥州市,おうしゅうし,市,奥州,おうしゅう
032166,岩手県,滝沢市,たきざわし,市,滝沢,たきざわ
033014,岩手県,雫石町,しずくいしちょう,町,雫石,しずくいし
033022,岩手県,葛巻町,くずまきまち,町,葛巻,くずまき
033031,岩手県,岩手町,いわてまち,町,岩手,いわて
033219,岩手県,紫波町,しわちょう,町,紫波,しわ
033227,岩手県,矢巾町,やはばちょう,町,矢巾,やはば
033669,岩手県,西和賀町,にしわがまち,町,西和賀,にしわが
033812,岩手県,金ケ崎町,かねがさきちょう,町,金ケ崎,かねがさき
034029,岩手県,平泉町,ひらいずみちょう,町,平泉,ひらいずみ
034410,岩手県,住田町,すみたちょう,町,住田,すみた
034614,岩手県,大槌町,おおつちちょう,町,大槌,おおつち
034827,岩手県,山田町,やまだまち,町,山田,やまだ
034835,岩手県,岩泉町,いわいずみちょう,町,岩泉,いわいずみ
034843,岩手県,田野畑村,たのはたむら,村,田野畑,たのはた
034851,岩手県,普代村,ふだいむら,村,普代,ふだい
035017,岩手県,軽米町,かるまいまち,町,軽米,かるまい
035033,岩手県,野田村,のだむら,村,野田,のだ
035068,岩手県,九戸村,くのへむら,村,九戸,くのへ
035076,岩手県,洋野町,ひろのちょう,町,洋野,ひろの
035246,岩手県,一戸町,いちのへまち,町,一戸,いちのへ
041009,宮城県,仙台市,せんだいし,市,仙台,せんだい
042021,宮城県,石巻市,いしのまきし,市,石巻,いしのまき
042030,宮城県,塩竈市,しおがまし,市,塩竈,しおがま
042056,宮城県,気仙沼市,けせんぬまし,市,気仙沼,けせんぬま
042064,宮城県,白石市,しろいしし,市,白石,しろいし
042072,宮城県,名取市,なとりし,市,名取,なとり
